#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Période extraite : de 2006 à 2020
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12323;47.6563;-2.1921;RCP2.6;2006;11.34;4;6.15;20.2;3;
12323;47.6563;-2.1921;RCP2.6;2007;12.08;7;7.26;24.52;5;
12323;47.6563;-2.1921;RCP2.6;2008;11.57;8;8.71;22.62;2;
12323;47.6563;-2.1921;RCP2.6;2009;12.65;6;7.45;21.28;0;
12323;47.6563;-2.1921;RCP2.6;2010;12.03;7;7.86;27.61;5;
12323;47.6563;-2.1921;RCP2.6;2011;12.16;5;7.03;20.28;3;
12323;47.6563;-2.1921;RCP2.6;2012;12.5;6;7.58;24.83;4;
12323;47.6563;-2.1921;RCP2.6;2013;12.45;2;7.04;17.22;2;
12323;47.6563;-2.1921;RCP2.6;2014;12.29;5;5.72;26.1;4;
12323;47.6563;-2.1921;RCP2.6;2015;12.61;3;6.06;19.66;1;
12323;47.6563;-2.1921;RCP2.6;2016;12.7;8;8.33;25.37;7;
12323;47.6563;-2.1921;RCP2.6;2017;12.87;13;8.14;27.81;5;
12323;47.6563;-2.1921;RCP2.6;2018;11.81;8;9.73;24.76;4;
12323;47.6563;-2.1921;RCP2.6;2019;11.4;13;8.97;31.53;6;
12323;47.6563;-2.1921;RCP2.6;2020;11.61;8;7.22;28.74;5;
12324;47.6604;-2.0858;RCP2.6;2006;11.54;3;5.76;18.66;3;
12324;47.6604;-2.0858;RCP2.6;2007;12.3;7;7.44;25.65;5;
12324;47.6604;-2.0858;RCP2.6;2008;11.84;8;9.55;20.82;2;
12324;47.6604;-2.0858;RCP2.6;2009;12.91;6;7.46;21.38;2;
12324;47.6604;-2.0858;RCP2.6;2010;12.26;5;7.6;27.58;5;
12324;47.6604;-2.0858;RCP2.6;2011;12.38;4;6.9;21.24;3;
12324;47.6604;-2.0858;RCP2.6;2012;12.71;5;7.89;23.98;4;
12324;47.6604;-2.0858;RCP2.6;2013;12.69;2;7.27;17.3;1;
12324;47.6604;-2.0858;RCP2.6;2014;12.53;5;6.36;30.4;5;
12324;47.6604;-2.0858;RCP2.6;2015;12.82;4;6.36;19.92;1;
12324;47.6604;-2.0858;RCP2.6;2016;12.94;8;8.31;24.15;4;
