#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12318;47.6344;-2.7235;REF;1997;11.99;3;7.35;16.42;2;
12318;47.6344;-2.7235;REF;1998;12.09;2;8.06;19.33;1;
12318;47.6344;-2.7235;REF;1999;12.81;2;5.98;17.59;2;
12318;47.6344;-2.7235;REF;2000;13.03;12;6.8;26.36;9;
12318;47.6344;-2.7235;REF;2001;11.75;8;8.46;27.07;6;
12318;47.6344;-2.7235;REF;2002;12.24;4;7.79;20.9;4;
12318;47.6344;-2.7235;REF;2003;12.75;10;7.57;23.97;5;
12318;47.6344;-2.7235;REF;2004;12.99;9;8.86;24.87;7;
12318;47.6344;-2.7235;REF;2005;12.41;4;4.9;20.16;3;
12319;47.639;-2.6173;REF;1990;12.51;7;9.23;26.45;7;
12319;47.639;-2.6173;REF;1991;11.49;4;6.46;18.07;1;
12319;47.639;-2.6173;REF;1992;11.4;3;8.18;18.44;2;
12319;47.639;-2.6173;REF;1993;11.88;2;7.89;18.4;2;
12319;47.639;-2.6173;REF;1994;11.22;6;8.9;22.73;4;
12319;47.639;-2.6173;REF;1995;11.94;6;7.26;22.87;4;
12319;47.639;-2.6173;REF;1996;12.31;3;5.55;18.73;2;
12319;47.639;-2.6173;REF;1997;11.75;3;7.55;17;3;
12319;47.639;-2.6173;REF;1998;11.85;3;8.13;19;1;
12319;47.639;-2.6173;REF;1999;12.58;3;5.71;18.36;2;
12319;47.639;-2.6173;REF;2000;12.77;13;6.96;26.69;10;
12319;47.639;-2.6173;REF;2001;11.56;8;8.44;26.87;6;
12319;47.639;-2.6173;REF;2002;12;6;7.78;23.1;5;
12319;47.639;-2.6173;REF;2003;12.55;9;7.67;22.53;4;
12319;47.639;-2.6173;REF;2004;12.74;8;8.86;25.06;7;
12319;47.639;-2.6173;REF;2005;12.19;3;5.16;18.31;3;
12320;47.6434;-2.511;REF;1990;12.1;12;10.2;30.72;6;
12320;47.6434;-2.511;REF;1991;11.08;4;7.14;20.78;2;
12320;47.6434;-2.511;REF;1992;10.98;6;9.31;21.11;1;
12320;47.6434;-2.511;REF;1993;11.49;5;8.88;20.35;2;
12320;47.6434;-2.511;REF;1994;10.86;7;10.32;28.38;5;
12320;47.6434;-2.511;REF;1995;11.56;12;8.4;28.81;5;
12320;47.6434;-2.511;REF;1996;11.92;5;6.29;21.54;2;
12320;47.6434;-2.511;REF;1997;11.37;3;8.37;18.29;2;
12320;47.6434;-2.511;REF;1998;11.44;6;9.17;22.89;1;
12320;47.6434;-2.511;REF;1999;12.2;3;6.33;19.14;2;
12320;47.6434;-2.511;REF;2000;12.34;15;6.82;32.77;9;
12320;47.6434;-2.511;REF;2001;11.17;10;9.72;33.6;8;
12320;47.6434;-2.511;REF;2002;11.59;8;8.75;26.71;4;
12320;47.6434;-2.511;REF;2003;12.14;10;9.14;28.32;7;
12320;47.6434;-2.511;REF;2004;12.32;11;9.2;30.12;8;
12320;47.6434;-2.511;REF;2005;11.79;8;5.94;22.14;3;
12321;47.6478;-2.4047;REF;1990;12.16;10;9.59;29.32;6;
